syakudo_english,syakudo_hensati,syakudo_japanese
w_total,仕事の負担,仕事の負担合計
w_vol,心理的な仕事の負担（量）,仕事の量的負担
w_qua,心理的な仕事の負担（質）,仕事の質的負担
w_hutan,自覚的な身体的負担度,身体的負担度
w_tai,職場の対人関係でのストレス,職場での対人関係
w_env,職場環境によるストレス,職場環境
w_jyoutyo,情緒的負担*,情緒的負担
w_yakuwarikat,役割葛藤*,役割葛藤
w_wsbneg,ワーク・セルフ・バランス（N）*,WSB（－）
s_total,仕事の資源（作業レベル）,作業レベル資源合計
s_control,仕事のコントロール度,仕事のコントロール
s_ginou,技能の活用度,技能の活用
s_tek,仕事の適性度,仕事の適正
s_igi,働きがい（仕事の意義）,仕事の意義
s_yakuwarimei,役割明確さ*,役割明確さ
s_growth,成長の機会*,成長の機会
b_total,仕事の資源（部署レベル）†,部署レベル資源合計
b_bosssupp,上司からのサポート,上司の支援
b_collsupp,同僚からのサポート,同僚の支援
b_ecoreward,経済・地位報酬*,経済・地位報酬
b_sonreward,尊重報酬*,尊重報酬
b_antreward,安定報酬*,安定報酬
b_bossleader,上司のリーダーシップ*,上司のリーダーシップ
b_bossfair,上司の公正な態度*,上司の公正な態度
b_homeru,ほめてもらえる職場*,ほめてもらえる職場
b_sippai,失敗を認める職場*,失敗を認める職場
j_total,仕事の資源（事業場レベル）,事業場レベル資源
j_keiei,経営層との信頼関係*,経営層との信頼関係
j_change,変化への対応*,変化への対応
j_kojin,個人の尊重*,個人の尊重
j_jinji,公正な人事評価*,公正な人事評価
j_dei,多様な労働者への対応*,多様な労働者への対応
j_carrier,キャリア形成*,キャリア形成
j_wsbpos,ワーク・セルフ・バランス（P）*,WSB（＋）
o_harass,職場のハラスメント*,職場のハラスメント
o_sc,職場の一体感*,ソーシャル・キャピタル
o_we,ワーク・エンゲイジメント*, ワークエンゲイジメント
p_total,アウトカム（心理的ストレス反応）§,心理的ストレス反応合計
p_kakki,活気,活気
p_iraira,イライラ感,イライラ感
p_hirou,疲労感,疲労感
p_huan,不安感,不安感
p_utu,抑うつ感,抑うつ感
na_cc,身体愁訴,身体愁訴
na_famsupp,家族・友人からのサポート,家族・友人の支援
na_workmanzoku,仕事の満足度,仕事の満足度
na_kateimanzoku,家庭の満足度,家庭の満足度